Trans. Date,Post Date,Description,Amount,Category
12/05/2015,12/05/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/06/2015,12/06/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.33,"Gasoline"
12/07/2015,12/07/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",8.61,"Supermarkets"
12/07/2015,12/07/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",38.11,"Supermarkets"
12/07/2015,12/07/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
12/07/2015,12/07/2015,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
12/07/2015,12/07/2015,"TACO BELL 20173 ROGERS MN",6.19,"Restaurants"
12/07/2015,12/07/2015,"TARGET ROGERS MN",3.88,"Supermarkets"
12/07/2015,12/07/2015,"TRAIL'S TA TRAVEL CENT ALBERT LEA MN",6.31,"Gasoline"
12/07/2015,12/07/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1449499533",0.95,"Restaurants"
12/08/2015,12/08/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",11.35,"Supermarkets"
12/08/2015,12/08/2015,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
12/08/2015,12/08/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/08/2015,12/08/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
12/08/2015,12/08/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1449567190",0.95,"Restaurants"
12/08/2015,12/08/2015,"USA*SNACK SODA VENDING OSSEO MNEV291851-1449567296",1.45,"Restaurants"
12/09/2015,12/09/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",20.30,"Supermarkets"
12/09/2015,12/09/2015,"LITTLE DUKES COOPER ST CLOUD MN",14.38,"Gasoline"
12/09/2015,12/09/2015,"TACO BELL 20173 ROGERS MN",4.06,"Restaurants"
12/09/2015,12/09/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1449658752",0.95,"Restaurants"
12/10/2015,12/10/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
12/10/2015,12/10/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",35.47,"Supermarkets"
12/10/2015,12/15/2015,"121 FULFILLMENT 763-4288123 MN",-55.00,"Payments and Credits"
12/11/2015,12/11/2015,"TACO BELL 20173 ROGERS MN",8.35,"Restaurants"
12/11/2015,12/11/2015,"USA*SNACK SODA VENDING OSSEO MNEV291851-1449843453",1.45,"Restaurants"
12/12/2015,12/12/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",2.18,"Gasoline"
12/12/2015,12/12/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",13.86,"Gasoline"
12/12/2015,12/12/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
12/12/2015,12/12/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",15.91,"Gasoline"
12/12/2015,12/12/2015,"D S LIQUORS NORTHWOOD IA",17.16,"Merchandise"
12/12/2015,12/12/2015,"DOLLAR-GENERAL #9644 NORTHWOOD IA",4.23,"Merchandise"
12/12/2015,12/12/2015,"HOLIDAY STNSTORE 0344 MONTICELLO MN",28.44,"Gasoline"
12/13/2015,12/13/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",2.83,"Gasoline"
12/13/2015,12/13/2015,"MONTICELLO PIZZA RANCH MONTICELLO MN",12.27,"Restaurants"
12/14/2015,12/14/2015,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
12/14/2015,12/14/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",3.99,"Restaurants"
12/14/2015,12/14/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/14/2015,12/14/2015,"SUPERAMERICA 4186 RICHFIELD MN01480R",30.83,"Gasoline"
12/14/2015,12/14/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450087167",0.95,"Restaurants"
12/14/2015,12/14/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450089091",1.90,"Restaurants"
12/15/2015,12/15/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
12/15/2015,12/15/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",12.15,"Gasoline"
12/15/2015,12/15/2015,"LIQUOR PIG SAINT CLOUD MN",11.47,"Merchandise"
12/15/2015,12/15/2015,"TARGET ROGERS MN",4.97,"Supermarkets"
12/15/2015,12/15/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450175525",0.95,"Restaurants"
12/15/2015,12/15/2015,"USA*SNACK SODA VENDING OSSEO MNEV291851-1450175538",1.45,"Restaurants"
12/16/2015,12/16/2015,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
12/16/2015,12/16/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/16/2015,12/16/2015,"TACO BELL 20173 ROGERS MN",6.43,"Restaurants"
12/16/2015,12/16/2015,"TARGET ROGERS MN",6.48,"Supermarkets"
12/16/2015,12/16/2015,"WAITE PARK PIZZA RANCH WAITE PARK MN",16.08,"Restaurants"
12/17/2015,12/17/2015,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
12/17/2015,12/17/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
12/17/2015,12/17/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450351858",0.95,"Restaurants"
12/18/2015,12/18/2015,"LIQUOR PIG SAINT CLOUD MN",11.47,"Merchandise"
12/18/2015,12/18/2015,"TACO BELL 20173 ROGERS MN",8.35,"Restaurants"
12/19/2015,12/19/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
12/19/2015,12/19/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",7.98,"Supermarkets"
12/19/2015,12/19/2015,"FALLGATTER'S MKTS, NORTHWOOD IA",9.55,"Supermarkets"
12/19/2015,12/19/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",22.03,"Gasoline"
12/19/2015,12/19/2015,"STRIKE ZONE NORTHWOOD IA",9.00,"Travel/ Entertainment"
12/19/2015,12/19/2015,"WORTH BREWING COMPANY NORTHWOOD IA",4.50,"Restaurants"
12/20/2015,12/20/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",20.03,"Gasoline"
12/20/2015,12/20/2015,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.27,"Gasoline"
12/21/2015,12/21/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",9.19,"Supermarkets"
12/21/2015,12/21/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",4.29,"Gasoline"
12/21/2015,12/21/2015,"LITTLE DUKES COOPER ST CLOUD MN",15.00,"Gasoline"
12/21/2015,12/21/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/21/2015,12/21/2015,"SUBWAY 00346114255 ST CLOUD MN",7.48,"Restaurants"
12/21/2015,12/21/2015,"TARGET ROGERS MN",5.78,"Supermarkets"
12/21/2015,12/21/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450709807",0.95,"Restaurants"
12/21/2015,12/21/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450684733",1.00,"Restaurants"
12/21/2015,12/21/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450696202",1.90,"Restaurants"
12/21/2015,12/21/2015,"WAL-MART SC - #1633 SAINT CLOUD MN",13.49,"Merchandise"
12/22/2015,12/22/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",5.68,"Gasoline"
12/22/2015,12/22/2015,"TARGET ROGERS MN",11.14,"Supermarkets"
12/22/2015,12/22/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1450780874",1.90,"Restaurants"
12/23/2015,12/23/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",2.42,"Supermarkets"
12/23/2015,12/23/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",6.96,"Gasoline"
12/23/2015,12/23/2015,"HOLIDAY STNSTORE 0307 ROGERS MN",16.33,"Gasoline"
12/23/2015,12/23/2015,"LITTLE DUKES COOPER ST CLOUD MN",3.38,"Gasoline"
12/24/2015,12/24/2015,"BEST BUY 00000455295 ROCKFORD IL",12.98,"Merchandise"
12/24/2015,12/24/2015,"CORK KEG & SPIRITS ROCKFORD IL",121.23,"Merchandise"
12/24/2015,12/24/2015,"HLU*HULU 15643209-U HULU.COM/BILLCAHLU*HULU 15643209-U",7.99,"Services"
12/24/2015,12/24/2015,"PILOT ST. CLOUD MN",5.79,"Gasoline"
12/24/2015,12/24/2015,"VALLI PRODUCE LOVES PARK IL",8.65,"Supermarkets"
12/24/2015,12/27/2015,"BARNES & NOBLE #2308 ROCKFORD IL",82.98,"Merchandise"
12/24/2015,12/27/2015,"EXXONMOBIL BELOIT WI",26.09,"Gasoline"
12/24/2015,12/27/2015,"MCDONALD'S F31419 BELOIT WI",5.70,"Restaurants"
12/24/2015,12/27/2015,"PITA PIT - ROCKFORD ROCKFORD IL",5.88,"Restaurants"
12/25/2015,12/25/2015,"INTERNET PAYMENT - THANK YOU",-1000.00,"Payments and Credits"
12/26/2015,12/26/2015,"INTEREST CHARGE ON PURCHASES",132.18,"Interest"
12/26/2015,12/27/2015,"CASEYS GEN STORE 2183 DECORAH IA",5.85,"Gasoline"
12/26/2015,12/27/2015,"CASEYS GEN STORE 2183 DECORAH IA",18.56,"Gasoline"
12/26/2015,12/27/2015,"D S LIQUORS NORTHWOOD IA",9.67,"Merchandise"
12/26/2015,12/27/2015,"HARDEE'S #23 FENNIMORE WI",9.05,"Restaurants"
12/26/2015,12/27/2015,"KWIK TRIP 00007559691 FENNIMORE WI",5.79,"Gasoline"
12/27/2015,12/27/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",5.18,"Gasoline"
12/27/2015,12/27/2015,"BP#8453540NORTH STAR XPR NORHTWOOD IA",9.07,"Gasoline"
12/27/2015,12/27/2015,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
12/27/2015,12/27/2015,"SUBWAY 00346114255 ST CLOUD MN",7.48,"Restaurants"
12/27/2015,12/27/2015,"WAL-MART SC - #1020 ALBERT LEA MN",8.56,"Merchandise"
12/28/2015,12/28/2015,"GITHUB.COM 9ENSZ 415-448-6673 CA",7.00,"Merchandise"
12/28/2015,12/28/2015,"LIQUOR PIG SAINT CLOUD MN",15.32,"Merchandise"
12/28/2015,12/28/2015,"PILOT ST. CLOUD MN",4.30,"Gasoline"
12/28/2015,12/28/2015,"TACO BELL 20173 ROGERS MN",4.06,"Restaurants"
12/28/2015,12/28/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451289929",0.95,"Restaurants"
12/28/2015,12/28/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451294190",0.95,"Restaurants"
12/28/2015,12/28/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451300814",0.95,"Restaurants"
12/28/2015,12/28/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451313019",1.00,"Restaurants"
12/28/2015,12/28/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451306881",1.90,"Restaurants"
12/29/2015,12/29/2015,"LIQUOR PIG SAINT CLOUD MN",12.64,"Merchandise"
12/29/2015,12/29/2015,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.10,"Restaurants"
12/29/2015,12/29/2015,"PILOT ST. CLOUD MN",13.93,"Gasoline"
12/29/2015,12/29/2015,"REWARD STATEMENT CREDIT",-12.17,"Awards and Rebate Credits"
12/29/2015,12/29/2015,"TACO BELL 20173 ROGERS MN",6.32,"Restaurants"
12/29/2015,12/29/2015,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451389435",0.95,"Restaurants"
12/30/2015,12/30/2015,"COBORN'S SUPERSTORE COOP ST CLOUD MN",19.65,"Supermarkets"
12/30/2015,12/30/2015,"LITTLE DUKES COOPER ST CLOUD MN",18.64,"Gasoline"
12/30/2015,12/30/2015,"MONTICELLO PIZZA RANCH MONTICELLO MN",12.80,"Restaurants"
12/30/2015,12/30/2015,"USA*SNACK SODA VENDING OSSEO MNEV291851-1451480742",1.45,"Restaurants"
12/31/2015,12/31/2015,"GOOGLE *PLAY GOOGLE.COM/CHCAP09GSWB7",19.79,"Merchandise"
12/31/2015,12/31/2015,"LIQUOR PIG SAINT CLOUD MN",34.61,"Merchandise"
01/01/2016,01/01/2016,"SUBWAY 00346114255 ST CLOUD MN",7.48,"Restaurants"
01/02/2016,01/02/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",67.67,"Supermarkets"
01/03/2016,01/03/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",4.28,"Supermarkets"
01/03/2016,01/03/2016,"LITTLE DUKES COOPER ST CLOUD MN",8.28,"Gasoline"
01/04/2016,01/04/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",27.58,"Supermarkets"
01/04/2016,01/04/2016,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
01/04/2016,01/04/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451897678",0.95,"Restaurants"
01/04/2016,01/04/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451907902",0.95,"Restaurants"
01/04/2016,01/04/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451916213",0.95,"Restaurants"
01/05/2016,01/05/2016,"LIQUOR PIG SAINT CLOUD MN",7.69,"Merchandise"
01/05/2016,01/05/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.10,"Restaurants"
01/05/2016,01/05/2016,"PILOT ST. CLOUD MN",4.30,"Gasoline"
01/05/2016,01/05/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451986673",0.95,"Restaurants"
01/05/2016,01/05/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451988970",0.95,"Restaurants"
01/05/2016,01/05/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1451998789",0.95,"Restaurants"
01/05/2016,01/05/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1451978687",1.45,"Restaurants"
01/06/2016,01/06/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/06/2016,01/06/2016,"SUBWAY 00346114255 ST CLOUD MN",6.77,"Restaurants"
01/06/2016,01/06/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452075356",0.95,"Restaurants"
01/06/2016,01/06/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452080437",0.95,"Restaurants"
01/06/2016,01/06/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1452082051",1.45,"Restaurants"
01/07/2016,01/07/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",10.02,"Supermarkets"
01/07/2016,01/07/2016,"LITTLE DUKES COOPER ST CLOUD MN",23.14,"Gasoline"
01/07/2016,01/07/2016,"PILOT ST. CLOUD MN",6.88,"Gasoline"
01/07/2016,01/07/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452175856",0.95,"Restaurants"
01/07/2016,01/07/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452178635",0.95,"Restaurants"
01/08/2016,01/08/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/08/2016,01/08/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.10,"Restaurants"
01/08/2016,01/08/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452246688",0.95,"Restaurants"
01/08/2016,01/08/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1452247413",1.45,"Restaurants"
01/09/2016,01/09/2016,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
01/09/2016,01/09/2016,"CASEYS GEN STORE 1753 NORTHWOOD IA",20.13,"Gasoline"
01/09/2016,01/09/2016,"D S LIQUORS NORTHWOOD IA",9.67,"Merchandise"
01/09/2016,01/09/2016,"FALLGATTER'S MKTS, NORTHWOOD IA",3.34,"Supermarkets"
01/09/2016,01/09/2016,"MCDONALD'S F22234 ALBERT LEA MN",4.46,"Restaurants"
01/10/2016,01/10/2016,"CASEYS GEN STORE 1753 NORTHWOOD IA",5.64,"Gasoline"
01/11/2016,01/11/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/11/2016,01/11/2016,"TRAIL'S TA TRAVEL CENT ALBERT LEA MN",6.33,"Gasoline"
01/11/2016,01/11/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452517224",0.95,"Restaurants"
01/12/2016,01/12/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/12/2016,01/12/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",26.22,"Supermarkets"
01/12/2016,01/12/2016,"LITTLE DUKES COOPER ST CLOUD MN",17.08,"Gasoline"
01/12/2016,01/12/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.10,"Restaurants"
01/12/2016,01/12/2016,"TARGET ROGERS MN",3.59,"Supermarkets"
01/12/2016,01/12/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452592610",0.95,"Restaurants"
01/13/2016,01/13/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/13/2016,01/13/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",11.44,"Supermarkets"
01/13/2016,01/13/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452680407",0.95,"Restaurants"
01/13/2016,01/13/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452690898",0.95,"Restaurants"
01/14/2016,01/14/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",34.05,"Supermarkets"
01/14/2016,01/14/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/14/2016,01/14/2016,"LITTLE DUKES COOPER ST CLOUD MN",13.96,"Gasoline"
01/14/2016,01/14/2016,"PILOT ST. CLOUD MN",10.78,"Gasoline"
01/14/2016,01/14/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452761806",0.95,"Restaurants"
01/14/2016,01/14/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452767639",0.95,"Restaurants"
01/14/2016,01/14/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452789454",0.95,"Restaurants"
01/15/2016,01/15/2016,"LIQUOR PIG SAINT CLOUD MN",7.69,"Merchandise"
01/15/2016,01/15/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452854477",0.95,"Restaurants"
01/15/2016,01/15/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452863311",0.95,"Restaurants"
01/15/2016,01/15/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1452869353",0.95,"Restaurants"
01/16/2016,01/16/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",4.19,"Supermarkets"
01/16/2016,01/16/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/16/2016,01/16/2016,"JIMMY JOHNS - 1403 SAINT CLOUD MN",7.32,"Restaurants"
01/16/2016,01/16/2016,"WAL-MART SC - #1633 SAINT CLOUD MN",22.46,"Merchandise"
01/17/2016,01/17/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",6.63,"Supermarkets"
01/17/2016,01/17/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",29.51,"Supermarkets"
01/17/2016,01/17/2016,"LITTLE DUKES COOPER ST CLOUD MN",12.67,"Gasoline"
01/17/2016,01/17/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",7.36,"Restaurants"
01/18/2016,01/18/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/18/2016,01/18/2016,"LIQUOR PIG SAINT CLOUD MN",7.69,"Merchandise"
01/18/2016,01/18/2016,"SUBWAY 00346114255 ST CLOUD MN",7.48,"Restaurants"
01/18/2016,01/18/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1453109640",0.95,"Restaurants"
01/18/2016,01/18/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1453113662",0.95,"Restaurants"
01/18/2016,01/18/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1453126990",0.95,"Restaurants"
01/18/2016,01/18/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453121589",1.45,"Restaurants"
01/19/2016,01/19/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/19/2016,01/19/2016,"PILOT ST. CLOUD MN",13.32,"Gasoline"
01/20/2016,01/20/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/20/2016,01/20/2016,"LITTLE DUKES COOPER ST CLOUD MN",17.10,"Gasoline"
01/20/2016,01/20/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453287449",1.45,"Restaurants"
01/20/2016,01/20/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453297597",1.45,"Restaurants"
01/21/2016,01/21/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/21/2016,01/21/2016,"LITTLE DUKES COOPER ST CLOUD MN",15.68,"Gasoline"
01/21/2016,01/21/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.65,"Restaurants"
01/21/2016,01/21/2016,"US TREASURY TAX PA NASHVILLE TN",952.00,"Government Services"
01/21/2016,01/21/2016,"US TREASURY TAX PA NASHVILLE TN",982.00,"Government Services"
01/21/2016,01/21/2016,"VALUE TAXPAYMENT C NASHVILLE TN",18.94,"Government Services"
01/21/2016,01/21/2016,"VALUE TAXPAYMENT C NASHVILLE TN",19.54,"Government Services"
01/22/2016,01/22/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",2.50,"Supermarkets"
01/22/2016,01/22/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/22/2016,01/22/2016,"PILOT ST. CLOUD MN",4.30,"Gasoline"
01/23/2016,01/23/2016,"BP#8453540NORTH STAR XPR NORHTWOOD IA",33.96,"Gasoline"
01/23/2016,01/23/2016,"CASEYS GEN STORE 1753 NORTHWOOD IA",3.41,"Gasoline"
01/23/2016,01/23/2016,"CASEYS GEN STORE 1753 NORTHWOOD IA",8.09,"Gasoline"
01/23/2016,01/23/2016,"D S LIQUORS NORTHWOOD IA",23.58,"Merchandise"
01/23/2016,01/23/2016,"WAL-MART SC - #1020 ALBERT LEA MN",44.81,"Merchandise"
01/24/2016,01/24/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",38.11,"Supermarkets"
01/24/2016,01/24/2016,"HLU*HULU 15643209-U HULU.COM/BILLCAHLU*HULU 15643209-U",7.99,"Services"
01/25/2016,01/25/2016,"ROGERS WINES AND SPIRITS ROGERS MN",9.87,"Merchandise"
01/25/2016,01/25/2016,"TARGET ROGERS MN",2.49,"Supermarkets"
01/25/2016,01/25/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1453716593",0.95,"Restaurants"
01/25/2016,01/25/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453708247",1.45,"Restaurants"
01/25/2016,01/25/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453721433",1.45,"Restaurants"
01/25/2016,01/27/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/25/2016,01/27/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",19.66,"Supermarkets"
01/25/2016,01/27/2016,"LITTLE DUKES COOPER ST CLOUD MN",7.40,"Gasoline"
01/26/2016,01/26/2016,"INTEREST CHARGE ON PURCHASES",142.62,"Interest"
01/26/2016,01/27/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/26/2016,01/27/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453791053",1.45,"Restaurants"
01/26/2016,01/27/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453811705",1.45,"Restaurants"
01/27/2016,01/27/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",2.50,"Supermarkets"
01/27/2016,01/27/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/27/2016,01/27/2016,"LITTLE DUKES COOPER ST CLOUD MN",16.66,"Gasoline"
01/27/2016,01/27/2016,"MYFICO COM 8003194433 CA",14.95,"Merchandise"
01/27/2016,01/27/2016,"REWARD STATEMENT CREDIT",-38.33,"Awards and Rebate Credits"
01/27/2016,01/27/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453881453",1.45,"Restaurants"
01/27/2016,01/27/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453895928",1.45,"Restaurants"
01/28/2016,01/28/2016,"GITHUB.COM 9ENSZ 415-448-6673 CA",7.00,"Merchandise"
01/28/2016,01/28/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1453973487",1.45,"Restaurants"
01/29/2016,01/29/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",4.19,"Supermarkets"
01/29/2016,01/29/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
01/29/2016,01/29/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
01/29/2016,01/29/2016,"TARGET ROGERS MN",15.16,"Supermarkets"
01/29/2016,01/29/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454053363",0.95,"Restaurants"
01/29/2016,01/29/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454055373",0.95,"Restaurants"
01/29/2016,01/29/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454058572",0.95,"Restaurants"
01/29/2016,01/29/2016,"USA*SNACK SODA VENDING OSSEO MNEV291851-1454053384",1.45,"Restaurants"
01/30/2016,01/30/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",8.13,"Supermarkets"
01/30/2016,01/30/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",58.75,"Supermarkets"
01/31/2016,01/31/2016,"CARIBOU COFFEE 1274 RICHFIELD MN",5.14,"Restaurants"
01/31/2016,01/31/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",2.94,"Supermarkets"
01/31/2016,01/31/2016,"LITTLE DUKES COOPER ST CLOUD MN",19.45,"Gasoline"
02/01/2016,02/01/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.00,"Supermarkets"
02/01/2016,02/01/2016,"COBORN'S SUPERSTORE COOP ST CLOUD MN",7.67,"Supermarkets"
02/01/2016,02/01/2016,"HOLIDAY STNSTORE 0307 ROGERS MN",6.96,"Gasoline"
02/01/2016,02/01/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454315072",0.95,"Restaurants"
02/01/2016,02/01/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454319366",0.95,"Restaurants"
02/01/2016,02/01/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454323628",0.95,"Restaurants"
02/02/2016,02/02/2016,"LIQUOR PIG SAINT CLOUD MN",8.79,"Merchandise"
02/02/2016,02/02/2016,"MCDONALD'S M4787 OF MN ST CLOUD MN",4.65,"Restaurants"
02/02/2016,02/02/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454403214",0.95,"Restaurants"
02/02/2016,02/02/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454405246",0.95,"Restaurants"
02/02/2016,02/02/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454410306",0.95,"Restaurants"
02/02/2016,02/02/2016,"USA*SNACK SODA VENDING OSSEO MNEV291857-1454421566",0.95,"Restaurants"
